"","LATITUDE","LONGITUDE","LATITUDE.1","LONGITUDE.1","Elevation","MAT","MAP","Tseas","Pseas"
"1",44.33,-112.33,44.33,-112.33,1878,4.1875,279,924.116577148438,35.8258361816406
"2",40.809241,-96.187269,40.809241,-96.187269,388,10.3999996185303,824,1084.21740722656,50.1975860595703
"3",45.34296,-122.799,45.34296,-122.799,74,11.6000003814697,1074,554.366943359375,63.0503578186035
"4",64.844229,-148.051765,64.844229,-148.051765,292,-2.62083315849304,300,1345.57604980469,51.9651489257812
"5",33.43,-111.93,33.43,-111.93,354,22.1333332061768,211,774.647521972656,47.4397010803223
"6",34.35,-106.88,34.35,-106.88,1458,13.8000001907349,219,855.256469726562,70.0160903930664
"7",37.446634,-75.667464,37.446634,-75.667464,3,14.3166666030884,1041,782.008850097656,12.5978536605835
"8",43.833333,-102.166667,43.833333,-102.166667,847,8.60833358764648,428,1058.26586914062,64.9186019897461
"9",55.702512,12.558956,55.702512,12.558956,17,8.6875,619,624.711303710938,19.1973915100098
"10",42.408852,-85.383181,42.408852,-85.383181,287,8.83749961853027,905,999.254577636719,24.6180210113525
"11",39.0786,-96.557,39.0786,-96.557,437,12.1916666030884,893,1022.95880126953,51.0593757629395
"12",40.170741,-79.260178,40.170741,-79.260178,407,9.71249961853027,1087,889.468994140625,15.1974401473999
"13",39.083333,-96.583333,39.083333,-96.583333,409,12.3000001907349,890,1026.43469238281,51.0195121765137
"14",45.4,-93.2,45.4,-93.2,282,6.28749990463257,743,1205.19348144531,52.764461517334
"15",32.62,-106.74,32.62,-106.74,1317,14.9875001907349,276,802.295349121094,73.1031188964844
"16",37.25,-96.71666,37.25,-96.71666,396,13.875,881,968.979064941406,42.9035034179688
"17",-30.6,-71.7,-30.6,-71.7,300,14.8166666030884,130,259.179962158203,114.734718322754
"18",39.083333,-96.58333,39.083333,-96.58333,409,12.3000001907349,890,1026.43469238281,51.0195121765137
"19",31.938889,-109.0797,31.938889,-109.0797,1318,16.1625003814697,323,739.582580566406,75.1611785888672
"20",44.25,-72.1875,44.25,-72.1875,404,5.25833320617676,1037,1038.03979492188,17.5428695678711
"21",55.71667,13.33333,55.71667,13.33333,43,7.94166660308838,667,645.659729003906,21.2004051208496
"22",34.296,-106.9267,34.296,-106.9267,1504,13.5791664123535,229,837.052307128906,70.6874847412109
"23",40.82889,-104.7582,40.82889,-104.7582,1660,9.00833320617676,367,880.5908203125,59.8386917114258
"24",31.58333,-94.81666,31.58333,-94.81666,106,18.591667175293,1130,725.699768066406,16.5286083221436
"25",38.61,-79.83472,38.61,-79.83472,1160,7.54166650772095,1304,806.245056152344,9.11301326751709
"26",65.968055,16.31666,65.968055,16.31666,587,-1.34583342075348,655,907.495178222656,31.1845397949219
"27",36.244891,136.90659,36.244891,136.90659,778,9.20833301544189,2066,929.679382324219,33.0168113708496
"28",50.8463,0.0552,50.8463,0.0552,22,10.279167175293,784,446.788848876953,29.0858058929443
"29",47.833333,-91.833333,47.833333,-91.833333,437,2.78333330154419,718,1228.50305175781,53.5599403381348
"30",43.91,-71.75,43.91,-71.75,713,4.87083339691162,1260,987.387390136719,12.5284881591797
"31",39.98333,-88.65,39.98333,-88.65,203,11.0708332061768,997,1014.54528808594,25.1852130889893
"32",40.13333,-88.3,40.13333,-88.3,232,10.9875001907349,1003,1029.2431640625,26.5774879455566
"33",67.077,17.435,67.077,17.435,547,-1.40416657924652,587,877.570129394531,29.6707992553711
"34",54.504083,60.293995,54.504083,60.293995,401,2.20833325386047,463,1229.16796875,52.1142807006836
"35",49.05,107.18,49.05,107.18,1002,-0.695833444595337,300,1620.53088378906,117.886627197266
"36",51.698,-5.277,51.698,-5.277,26,10.5625,883,334.406707763672,27.8409862518311
"37",50.845447,-107.446257,50.845447,-107.446257,669,3.42083334922791,358,1209.26440429688,64.9802398681641
"38",46.316667,-105.8,46.316667,-105.8,738,7.70416688919067,335,1118.07763671875,62.0284042358398
"39",63.41667,10.5,63.41667,10.5,80,5.22499990463257,959,609.718627929688,22.4838695526123
"40",61.9241,25.7482,61.9241,25.7482,163,3.29166650772095,616,898.042907714844,35.6863632202148
"41",67.75,29.5,67.75,29.5,291,-0.79583328962326,570,923.485168457031,34.9632263183594
"42",39.07125,-96.58755,39.07125,-96.58755,425,12.2541666030884,890,1025.58288574219,51.2083854675293
"43",39.074,-96.5672,39.074,-96.5672,421,12.2583332061768,890,1025.18029785156,51.0037422180176
"44",39.07865,-96.5626,39.07865,-96.5626,433,12.2041664123535,892,1023.51989746094,51.0307807922363
"45",39.06966,-96.56263,39.06966,-96.56263,417,12.2708330154419,893,1024.4853515625,50.7264709472656
"46",39.07497,-96.59795,39.07497,-96.59795,410,12.2958335876465,887,1026.92053222656,51.1252555847168
"47",39.07385,-96.5712,39.07385,-96.5712,421,12.2583332061768,890,1025.18029785156,51.0037422180176
"48",39.07255,-96.57745,39.07255,-96.57745,421,12.2624998092651,889,1024.91491699219,51.0433731079102
"49",39.0936,-96.59015,39.0936,-96.59015,366,12.4583330154419,890,1031.525390625,51.3903007507324
"50",39.0813,-96.57135,39.0813,-96.57135,417,12.2749996185303,893,1025.97521972656,51.0562477111816
"51",39.0803,-96.6059,39.0803,-96.6059,421,12.2708330154419,891,1026.62609863281,51.5060234069824
"52",39.07985,-96.5834,39.07985,-96.5834,415,12.283332824707,891,1026.40441894531,51.2403945922852
"53",39.0953,-96.59865,39.0953,-96.59865,371,12.4291667938232,891,1031.55322265625,51.2247276306152
"54",18.1667,-65.5,18.1667,-65.5,31,26.375,1225,120.764610290527,38.5213317871094
"55",39.08685,-96.57055,39.08685,-96.57055,405,12.3083333969116,892,1026.90368652344,51.065299987793
"56",34.2,-106.43,34.2,-106.43,1830,12.3083333969116,316,794.377502441406,68.4508743286133
"57",18.19,-65.43,18.19,-65.43,31,26.375,1225,120.764610290527,38.5213317871094
"58",30.3226,-103.501,30.3226,-103.501,1566,15.4458332061768,456,615.712707519531,76.2519302368164
"59",52.4221,-0.180928,52.4221,-0.180928,8,9.87916660308838,553,474.487548828125,10.2643766403198
"60",-28.954467,24.950961,-28.954467,24.950961,1149,18.25,439,557.791931152344,67.9732131958008
"61",52.716667,24.26666,52.716667,24.26666,168,6.06666660308838,602,787.612426757812,33.7364158630371
"62",43.27,41.41,43.27,41.41,1680,4.05000019073486,1403,714.1396484375,18.7008514404297
"63",43.27,41.42,43.27,41.42,1576,4.125,1361,717.500427246094,18.7801876068115
