,db,query,class
1,itis,Acourtia,Magnoliopsida
2,itis,Chaetopappa,Magnoliopsida
3,itis,Chamaesaracha,Magnoliopsida
4,itis,Dasyochloa,Magnoliopsida
5,itis,Ephedra,Gnetopsida
6,itis,Evolvulus,Magnoliopsida
7,itis,Machaeranthera,Magnoliopsida
8,itis,Pomaria,Magnoliopsida
9,itis,Salsola,Magnoliopsida
10,itis,Selinocarpus,Eudicots
11,itis,Zinnia,Magnoliopsida
12,itis,Spartina,Magnoliopsida
13,itis,Setaria,Magnoliopsida
14,itis,Hypochlora,Insecta
15,itis,Hesperotettix,Insecta
16,itis,Syrbula,Insecta
17,itis,Campylacantha,Insecta
18,itis,Ageneotettix,Insecta
19,itis,Codium,Ulvophyceae
20,itis,Dodecaceria,Polychaeta
21,itis,Pachythyone,Holothuroidea
22,itis,Abietinaria,Hydrozoa
23,itis,Hipporina,Gymnolaemata
24,itis,Plumularia,Hydrozoa
25,itis,Coereba,Aves
26,itis,Geotrygon,Aves
27,itis,Loxigilla,Aves
28,itis,Nesospingus,Aves
29,itis,Patagioenas,Aves
30,itis,Todus,Aves
31,itis,Anabaena,Cyanophyceae
32,itis,Ankistrodesmus,Chlorophyceae
33,itis,Aphanizomenon,Cyanophyceae
34,itis,Aphanocapsa,Cyanophyceae
35,itis,Aphanothece,Cyanophyceae
36,itis,Aulacoseira,Bacillariophyceae
37,itis,Chlamydomonas,Chlorophyceae
38,itis,Chlorococcaceae,Chlorophyceae
39,itis,Chroococcaceae,Cyanophyceae
40,itis,Closterium,Conjugatophyceae
41,itis,Coelosphaerium,Cyanophyceae
42,itis,Cryptomonas,Cryptophyceae
43,itis,Cyclotella,Bacillariophyceae
44,itis,Cylindrospermopsis,Cyanophyceae
45,itis,Dictyosphaerium,Chlorophyceae
46,itis,Erkenia,Chrysophyceae
47,itis,Fragilaria,Bacillariophyceae
48,itis,Gymnodinium,Dinophyceae
49,itis,Lyngbya,Cyanophyceae
50,itis,Mallomonas,Chrysophyceae
51,itis,Merismopedia,Cyanophyceae
52,itis,Microcystis,Cyanophyceae
53,itis,Monoraphidium,Chlorophyceae
54,itis,Navicula,Bacillariophyceae
55,itis,Nitzschia,Bacillariophyceae
56,itis,Oocystis,Trebouxiophyceae
57,itis,Oscillatoria,Cyanophyceae
58,itis,Peridinium,Dinophyceae
59,itis,Phormidium,Cyanophyceae
60,itis,Quadrigula,Chlorophyceae
61,itis,Rhodomonas,Cryptophyceae
62,itis,Scenedesmus,Chlorophyceae
63,itis,Schroederia,Chlorophyceae
64,itis,Sphaerocystis,Chlorophyceae
65,itis,Stephanodiscus,Bacillariophyceae
66,itis,Synechocystis,Cyanophyceae
67,itis,Synedra,Bacillariophyceae
68,itis,Unidentified,Chlorophyceae
69,itis,Uroglena,Chrysophyceae
70,itis,Synechococcus,Cyanophyceae
71,itis,Pyramichlamys,Chlorophyceae
72,itis,Chroococcus,Cyanophyceae
73,itis,Monomastix,Green Alga
74,itis,Descurainia,Magnoliopsida
75,itis,Androsace,Magnoliopsida
76,itis,Tympanuchus,Aves